text,actual
short circuit near panel classroom amount affecting class two week keep repeating,electricity
student reported low water pressure hostel block repeatedly keep repeating,water issue
classroom amount dirty drinking water maintenance not fixed three day request immediate action,water issue
abusive language office person engineering block one week keep repeating,harassment
student reported low water pressure science lab repeatedly keep repeating,water issue
please resolve lab slot unavailable academic system keep repeating,academic issue
please help power outage hostel block night,electricity
admin office dirty drinking water maintenance not fixed two week request immediate action,water issue
student affected lift not working hostel block request immediate action,infrastructure
broken switch board classroom amount evening hour request immediate action,electricity
please help student affected pothole internal road auditorium,infrastructure
please help finance office not fixed exam fee still showing unpaid despite multiple reminder,fees/finance
please help violent threatening behavior engineering block creating environment,harassment
hostel fee overcharge related block payment keep repeating,fees/finance
please help exam timetable clash classroom amount semester,academic issue
experienced threatening behavior senior toward junior auditorium feel unsafe request immediate action,harassment
hostel fee overcharge related computer lab payment keep repeating,fees/finance
senior intimidating fresher student classroom amount creating threatening environment request immediate action,harassment
please help bus schedule confusion regarding science lab,other
student reported foul smell water hostel block repeatedly request immediate action,water issue
general complaint suggestion cleaner notice board hostel block request immediate action,other
late fee charged incorrectly account unresolved two week keep repeating,fees/finance
please help resolve course registration bug academic system,academic issue
friend threatened abused senior,harassment
finance office not fixed invoice mismatch despite multiple reminder request immediate action,fees/finance
mark not updated classroom amount affecting academic progress request immediate action,academic issue
please help no water supply hostel block since many day,water issue
science lab unsafe staircase railing need maintenance request immediate action,infrastructure
syllabus not completed engineering block semester keep repeating,academic issue
please help power outage classroom amount night,electricity
please help charged payment receipt missing need correction urgently,fees/finance
sudden blackout night main library affecting class two week request immediate action,electricity
general complaint suggestion cleaner notice board classroom amount request immediate action,other
please help collapsed false ceiling panel hostel block two week,infrastructure
request additional seating caused inconvenience many day keep repeating,other
please help event management noise concern caused inconvenience two day,other
senior harassing ragging student hostel block,harassment
please help student affected pothole internal road classroom amount,infrastructure
please help student reported bathroom tap not working canteen repeatedly,water issue
general complaint sport facility timing request north corridor keep repeating,other
please resolve portal not allowing submission academic system request immediate action,academic issue
classroom fan not working science lab night keep repeating,electricity
noticed dark stairway due no light near science lab unsafe keep repeating,electricity
please help charged payment receipt missing need correction urgently,fees/finance
student affected lift not working classroom amount request immediate action,infrastructure
financial aid rejection without reason account unresolved one week request immediate action,fees/finance
please repair campus wifi dead zone north corridor soon request immediate action,infrastructure
mark not updated admin office affecting academic progress request immediate action,academic issue
threatening message person admin office many day keep repeating,harassment
please take action bullying senior happening around parking area request immediate,harassment
hostel block keep frequent voltage fluctuation several week repeating,electricity
damaged ceiling tile computer lab one week keep repeating,infrastructure
please repair water seepage wall classroom amount soon keep repeating,infrastructure
general complaint sport facility timing request hostel block keep repeating,other
sudden blackout night classroom amount affecting class three day request immediate action,electricity
please help wrong fee amount account unresolved three day,fees/finance
sudden blackout night north corridor affecting class one month request immediate action,electricity
class facing no faculty replacement many day request immediate action,academic issue
short circuit near panel classroom amount affecting class two week keep repeating,electricity
poor ventilation admin office two day request immediate action,infrastructure
noticed dark stairway due no light near north corridor unsafe keep repeating,electricity
broken switch board north corridor evening hour request immediate action,electricity
please resolve portal not allowing submission academic system request immediate action,academic issue
unfair invigilation complaint fee counter affecting academic progress keep repeating,academic issue
request additional seating caused inconvenience one month keep repeating,other
please help look mobile app glitch report hostel block,other
contaminated tap water classroom amount since many day request immediate action,water issue
please help wrong fee amount account unresolved two week,fees/finance
parking permit delay caused inconvenience several week request immediate action,other
abusive language office person fee counter two week keep repeating,harassment
engineering block keep frequent voltage fluctuation three day repeating,electricity
please help look mobile app glitch report classroom amount,other
