complaint_text,category
"we noticed dark stairway due to no lights near main library and this is unsafe, this keeps repeating.",electricity
sudden blackout at night in computer lab is affecting classes for three days. request immediate action.,electricity
"please help, there is power outage in computer lab during night",electricity
"hostel block b keeps having frequent voltage fluctuation for many days, this keeps repeating.",electricity
we noticed electric shock from socket near computer lab and this is unsafe. request immediate action.,electricity
"please help, sparks in wiring in science lab is affecting classes for three days",electricity
"there is classroom fan not working in canteen during exam time, this keeps repeating.",electricity
canteen keeps having light failure in corridor for one week. request immediate action.,electricity
"please help, we noticed generator backup failure near fee counter and this is unsafe",electricity
"short circuit near panel in admin office is affecting classes for one week, this keeps repeating.",electricity
there is broken switch board in canteen during night. request immediate action.,electricity
"please help, north corridor keeps having lab equipment not powered for one month",electricity
"we noticed dark stairway due to no lights near parking area and this is unsafe, this keeps repeating.",electricity
sudden blackout at night in main library is affecting classes for two weeks. request immediate action.,electricity
"please help, there is power outage in hostel block b during night",electricity
"hostel block a keeps having frequent voltage fluctuation for several weeks, this keeps repeating.",electricity
we noticed electric shock from socket near main gate and this is unsafe. request immediate action.,electricity
"please help, sparks in wiring in computer lab is affecting classes for two weeks",electricity
"please help, the wrong fee amount for my account is unresolved for three days",fees/finance
"finance office has not fixed duplicate payment deduction despite multiple reminders, this keeps repeating.",fees/finance
i was charged refund pending and need correction urgently. request immediate action.,fees/finance
"please help, there is scholarship not credited related to north corridor payment",fees/finance
"the late fee charged incorrectly for my account is unresolved for one week, this keeps repeating.",fees/finance
finance office has not fixed invoice mismatch despite multiple reminders. request immediate action.,fees/finance
"please help, i was charged payment receipt missing and need correction urgently",fees/finance
"there is hostel fee overcharge related to fee counter payment, this keeps repeating.",fees/finance
the financial aid rejection without reason for my account is unresolved for several weeks. request immediate action.,fees/finance
"please help, finance office has not fixed exam fee still showing unpaid despite multiple reminders",fees/finance
"i was charged double transaction issue and need correction urgently, this keeps repeating.",fees/finance
there is installment plan not updated related to north corridor payment. request immediate action.,fees/finance
"please help, the wrong fee amount for my account is unresolved for many days",fees/finance
"finance office has not fixed duplicate payment deduction despite multiple reminders, this keeps repeating.",fees/finance
i was charged refund pending and need correction urgently. request immediate action.,fees/finance
"please help, there is scholarship not credited related to engineering block payment",fees/finance
"the late fee charged incorrectly for my account is unresolved for two weeks, this keeps repeating.",fees/finance
finance office has not fixed invoice mismatch despite multiple reminders. request immediate action.,fees/finance
"please help, i was charged payment receipt missing and need correction urgently",fees/finance
"there is hostel fee overcharge related to hostel block b payment, this keeps repeating.",fees/finance
the financial aid rejection without reason for my account is unresolved for two days. request immediate action.,fees/finance
"please help, finance office has not fixed exam fee still showing unpaid despite multiple reminders",fees/finance
"i was charged double transaction issue and need correction urgently, this keeps repeating.",fees/finance
there is installment plan not updated related to engineering block payment. request immediate action.,fees/finance
"please help, the wrong fee amount for my account is unresolved for several weeks",fees/finance
"finance office has not fixed duplicate payment deduction despite multiple reminders, this keeps repeating.",fees/finance
i was charged refund pending and need correction urgently. request immediate action.,fees/finance
"please help, there is scholarship not credited related to science lab payment",fees/finance
"the late fee charged incorrectly for my account is unresolved for two weeks, this keeps repeating.",fees/finance
finance office has not fixed invoice mismatch despite multiple reminders. request immediate action.,fees/finance
"please help, i was charged payment receipt missing and need correction urgently",fees/finance
"there is hostel fee overcharge related to parking area payment, this keeps repeating.",fees/finance
the financial aid rejection without reason for my account is unresolved for several weeks. request immediate action.,fees/finance
"please help, finance office has not fixed exam fee still showing unpaid despite multiple reminders",fees/finance
"i was charged double transaction issue and need correction urgently, this keeps repeating.",fees/finance
there is installment plan not updated related to engineering block payment. request immediate action.,fees/finance
"please help, the wrong fee amount for my account is unresolved for one week",fees/finance
"finance office has not fixed duplicate payment deduction despite multiple reminders, this keeps repeating.",fees/finance
i was charged refund pending and need correction urgently. request immediate action.,fees/finance
"please help, there is scholarship not credited related to admin office payment",fees/finance
"the late fee charged incorrectly for my account is unresolved for many days, this keeps repeating.",fees/finance
finance office has not fixed invoice mismatch despite multiple reminders. request immediate action.,fees/finance
"please help, i was charged payment receipt missing and need correction urgently",fees/finance
"there is hostel fee overcharge related to hostel block a payment, this keeps repeating.",fees/finance
the financial aid rejection without reason for my account is unresolved for one week. request immediate action.,fees/finance
"please help, finance office has not fixed exam fee still showing unpaid despite multiple reminders",fees/finance
"i was charged double transaction issue and need correction urgently, this keeps repeating.",fees/finance
there is installment plan not updated related to parking area payment. request immediate action.,fees/finance
"please help, the wrong fee amount for my account is unresolved for one month",fees/finance
"finance office has not fixed duplicate payment deduction despite multiple reminders, this keeps repeating.",fees/finance
i was charged refund pending and need correction urgently. request immediate action.,fees/finance
"please help, there is scholarship not credited related to classroom 203 payment",fees/finance
"the late fee charged incorrectly for my account is unresolved for three days, this keeps repeating.",fees/finance
finance office has not fixed invoice mismatch despite multiple reminders. request immediate action.,fees/finance
"please help, i was charged payment receipt missing and need correction urgently",fees/finance
"there is hostel fee overcharge related to computer lab payment, this keeps repeating.",fees/finance
the financial aid rejection without reason for my account is unresolved for two weeks. request immediate action.,fees/finance
"please help, finance office has not fixed exam fee still showing unpaid despite multiple reminders",fees/finance
"i was charged double transaction issue and need correction urgently, this keeps repeating.",fees/finance
there is installment plan not updated related to hostel block b payment. request immediate action.,fees/finance
"please help, the wrong fee amount for my account is unresolved for two weeks",fees/finance
"finance office has not fixed duplicate payment deduction despite multiple reminders, this keeps repeating.",fees/finance
i was charged refund pending and need correction urgently. request immediate action.,fees/finance
"please help, there is scholarship not credited related to main gate payment",fees/finance
"the late fee charged incorrectly for my account is unresolved for one month, this keeps repeating.",fees/finance
finance office has not fixed invoice mismatch despite multiple reminders. request immediate action.,fees/finance
"please help, i was charged payment receipt missing and need correction urgently",fees/finance
"there is hostel fee overcharge related to computer lab payment, this keeps repeating.",fees/finance
the financial aid rejection without reason for my account is unresolved for one week. request immediate action.,fees/finance
"please help, finance office has not fixed exam fee still showing unpaid despite multiple reminders",fees/finance
"i was charged double transaction issue and need correction urgently, this keeps repeating.",fees/finance
there is installment plan not updated related to classroom 203 payment. request immediate action.,fees/finance
"please help, the wrong fee amount for my account is unresolved for one month",fees/finance
"finance office has not fixed duplicate payment deduction despite multiple reminders, this keeps repeating.",fees/finance
i was charged refund pending and need correction urgently. request immediate action.,fees/finance
"please help, there is scholarship not credited related to main library payment",fees/finance
"the late fee charged incorrectly for my account is unresolved for one month, this keeps repeating.",fees/finance
finance office has not fixed invoice mismatch despite multiple reminders. request immediate action.,fees/finance
"please help, i was charged payment receipt missing and need correction urgently",fees/finance
"there is hostel fee overcharge related to main library payment, this keeps repeating.",fees/finance
the financial aid rejection without reason for my account is unresolved for many days. request immediate action.,fees/finance
"please help, finance office has not fixed exam fee still showing unpaid despite multiple reminders",fees/finance
"i was charged double transaction issue and need correction urgently, this keeps repeating.",fees/finance
there is installment plan not updated related to fee counter payment. request immediate action.,fees/finance
"please help, the wrong fee amount for my account is unresolved for three days",fees/finance
"finance office has not fixed duplicate payment deduction despite multiple reminders, this keeps repeating.",fees/finance
i was charged refund pending and need correction urgently. request immediate action.,fees/finance
"please help, there is scholarship not credited related to admin office payment",fees/finance
"the late fee charged incorrectly for my account is unresolved for one month, this keeps repeating.",fees/finance
finance office has not fixed invoice mismatch despite multiple reminders. request immediate action.,fees/finance
"please help, i was charged payment receipt missing and need correction urgently",fees/finance
"there is hostel fee overcharge related to canteen payment, this keeps repeating.",fees/finance
the financial aid rejection without reason for my account is unresolved for two weeks. request immediate action.,fees/finance
"please help, finance office has not fixed exam fee still showing unpaid despite multiple reminders",fees/finance
"i was charged double transaction issue and need correction urgently, this keeps repeating.",fees/finance
there is installment plan not updated related to classroom 105 payment. request immediate action.,fees/finance
"please help, the wrong fee amount for my account is unresolved for two weeks",fees/finance
"finance office has not fixed duplicate payment deduction despite multiple reminders, this keeps repeating.",fees/finance
i was charged refund pending and need correction urgently. request immediate action.,fees/finance
"please help, there is scholarship not credited related to classroom 105 payment",fees/finance
"please help, i experienced verbal abuse at admin office and feel unsafe",harassment
"there was threatening messages by a person in computer lab for one week, this keeps repeating.",harassment
please take action on bullying by seniors happening around fee counter. request immediate action.,harassment
"please help, ragging by senior students in computer lab is creating a threatening environment",harassment
"i experienced stalking near hostel at canteen and feel unsafe, this keeps repeating.",harassment
there was inappropriate behavior by staff by a person in auditorium for two days. request immediate action.,harassment
"please help, please take action on discriminatory comments happening around main library",harassment
"sexual harassment complaint in classroom 203 is creating a threatening environment, this keeps repeating.",harassment
i experienced senior misconduct during orientation at hostel block b and feel unsafe. request immediate action.,harassment
"please help, there was intimidation in class by a person in computer lab for three days",harassment
"please take action on unsafe interaction in corridor happening around classroom 203, this keeps repeating.",harassment
public humiliation in admin office is creating a threatening environment. request immediate action.,harassment
"please help, i experienced coercive behavior at computer lab and feel unsafe",harassment
"there was abusive language in office by a person in hostel block a for many days, this keeps repeating.",harassment
please take action on physical assault report happening around classroom 105. request immediate action.,harassment
"please help, violent threatening behavior in engineering block is creating a threatening environment",harassment
"i experienced senior harassing a junior at canteen and feel unsafe, this keeps repeating.",harassment
there was some senior is harassing a junior on fifth floor by a person in computer lab for several weeks. request immediate action.,harassment
"please help, please take action on a senior is ragging freshmen in hostel happening around computer lab",harassment
"senior students bullying juniors after class in classroom 105 is creating a threatening environment, this keeps repeating.",harassment
i experienced threatening behavior by senior toward junior at parking area and feel unsafe. request immediate action.,harassment
"please help, there was harassing messages from senior student by a person in science lab for several weeks",harassment
"please take action on junior student harassed in corridor happening around parking area, this keeps repeating.",harassment
senior intimidating fresher students in fee counter is creating a threatening environment. request immediate action.,harassment
"please help, i experienced verbal abuse at engineering block and feel unsafe",harassment
"there was threatening messages by a person in computer lab for one week, this keeps repeating.",harassment
please take action on bullying by seniors happening around canteen. request immediate action.,harassment
"please help, ragging by senior students in hostel block b is creating a threatening environment",harassment
"i experienced stalking near hostel at hostel block a and feel unsafe, this keeps repeating.",harassment
there was inappropriate behavior by staff by a person in auditorium for three days. request immediate action.,harassment
"please help, please take action on discriminatory comments happening around hostel block a",harassment
"sexual harassment complaint in classroom 105 is creating a threatening environment, this keeps repeating.",harassment
i experienced senior misconduct during orientation at fee counter and feel unsafe. request immediate action.,harassment
"please help, there was intimidation in class by a person in auditorium for two weeks",harassment
"please take action on unsafe interaction in corridor happening around hostel block a, this keeps repeating.",harassment
public humiliation in fee counter is creating a threatening environment. request immediate action.,harassment
"please help, i experienced coercive behavior at admin office and feel unsafe",harassment
"there was abusive language in office by a person in engineering block for one week, this keeps repeating.",harassment
please take action on physical assault report happening around science lab. request immediate action.,harassment
"please help, violent threatening behavior in auditorium is creating a threatening environment",harassment
"i experienced senior harassing a junior at north corridor and feel unsafe, this keeps repeating.",harassment
there was some senior is harassing a junior on fifth floor by a person in admin office for several weeks. request immediate action.,harassment
"please help, please take action on a senior is ragging freshmen in hostel happening around computer lab",harassment
"senior students bullying juniors after class in main gate is creating a threatening environment, this keeps repeating.",harassment
i experienced threatening behavior by senior toward junior at science lab and feel unsafe. request immediate action.,harassment
"please help, there was harassing messages from senior student by a person in auditorium for two weeks",harassment
"please take action on junior student harassed in corridor happening around hostel block a, this keeps repeating.",harassment
senior intimidating fresher students in classroom 203 is creating a threatening environment. request immediate action.,harassment
"please help, i experienced verbal abuse at computer lab and feel unsafe",harassment
"there was threatening messages by a person in hostel block b for one month, this keeps repeating.",harassment
please take action on bullying by seniors happening around parking area. request immediate action.,harassment
"please help, ragging by senior students in engineering block is creating a threatening environment",harassment
"i experienced stalking near hostel at fee counter and feel unsafe, this keeps repeating.",harassment
there was inappropriate behavior by staff by a person in main library for two days. request immediate action.,harassment
"please help, please take action on discriminatory comments happening around north corridor",harassment
"sexual harassment complaint in hostel block b is creating a threatening environment, this keeps repeating.",harassment
i experienced senior misconduct during orientation at fee counter and feel unsafe. request immediate action.,harassment
"please help, there was intimidation in class by a person in main library for several weeks",harassment
"please take action on unsafe interaction in corridor happening around main library, this keeps repeating.",harassment
public humiliation in classroom 105 is creating a threatening environment. request immediate action.,harassment
"please help, i experienced coercive behavior at auditorium and feel unsafe",harassment
"there was abusive language in office by a person in admin office for two days, this keeps repeating.",harassment
please take action on physical assault report happening around parking area. request immediate action.,harassment
"please help, violent threatening behavior in engineering block is creating a threatening environment",harassment
"i experienced senior harassing a junior at north corridor and feel unsafe, this keeps repeating.",harassment
there was some senior is harassing a junior on fifth floor by a person in engineering block for several weeks. request immediate action.,harassment
"please help, please take action on a senior is ragging freshmen in hostel happening around hostel block b",harassment
"senior students bullying juniors after class in north corridor is creating a threatening environment, this keeps repeating.",harassment
i experienced threatening behavior by senior toward junior at auditorium and feel unsafe. request immediate action.,harassment
"please help, there was harassing messages from senior student by a person in canteen for several weeks",harassment
"please take action on junior student harassed in corridor happening around classroom 203, this keeps repeating.",harassment
senior intimidating fresher students in auditorium is creating a threatening environment. request immediate action.,harassment
"please help, i experienced verbal abuse at admin office and feel unsafe",harassment
"there was threatening messages by a person in parking area for several weeks, this keeps repeating.",harassment
please take action on bullying by seniors happening around fee counter. request immediate action.,harassment
"please help, ragging by senior students in auditorium is creating a threatening environment",harassment
"i experienced stalking near hostel at main gate and feel unsafe, this keeps repeating.",harassment
there was inappropriate behavior by staff by a person in canteen for many days. request immediate action.,harassment
"please help, please take action on discriminatory comments happening around north corridor",harassment
"sexual harassment complaint in classroom 105 is creating a threatening environment, this keeps repeating.",harassment
i experienced senior misconduct during orientation at canteen and feel unsafe. request immediate action.,harassment
"please help, there was intimidation in class by a person in computer lab for several weeks",harassment
"please take action on unsafe interaction in corridor happening around computer lab, this keeps repeating.",harassment
public humiliation in engineering block is creating a threatening environment. request immediate action.,harassment
"please help, i experienced coercive behavior at auditorium and feel unsafe",harassment
"there was abusive language in office by a person in fee counter for two weeks, this keeps repeating.",harassment
please take action on physical assault report happening around main gate. request immediate action.,harassment
"please help, violent threatening behavior in admin office is creating a threatening environment",harassment
"i experienced senior harassing a junior at science lab and feel unsafe, this keeps repeating.",harassment
there was some senior is harassing a junior on fifth floor by a person in fee counter for two days. request immediate action.,harassment
"please help, please take action on a senior is ragging freshmen in hostel happening around classroom 203",harassment
"senior students bullying juniors after class in computer lab is creating a threatening environment, this keeps repeating.",harassment
i experienced threatening behavior by senior toward junior at main library and feel unsafe. request immediate action.,harassment
"please help, there was harassing messages from senior student by a person in parking area for three days",harassment
"please take action on junior student harassed in corridor happening around north corridor, this keeps repeating.",harassment
senior intimidating fresher students in classroom 105 is creating a threatening environment. request immediate action.,harassment
"please help, i experienced verbal abuse at parking area and feel unsafe",harassment
"there was threatening messages by a person in admin office for many days, this keeps repeating.",harassment
please take action on bullying by seniors happening around main gate. request immediate action.,harassment
"please help, ragging by senior students in main gate is creating a threatening environment",harassment
"please help, fee counter has broken classroom chairs and needs maintenance",infrastructure
"there is damaged ceiling tiles in main library for several weeks, this keeps repeating.",infrastructure
students are affected because of lift not working at auditorium. request immediate action.,infrastructure
"please help, please repair toilet door broken in engineering block soon",infrastructure
"main library has library air conditioning failure and needs maintenance, this keeps repeating.",infrastructure
there is poor ventilation in north corridor for two weeks. request immediate action.,infrastructure
"please help, students are affected because of potholes on internal road at computer lab",infrastructure
"please repair water seepage in walls in hostel block b soon, this keeps repeating.",infrastructure
science lab has unsafe staircase railing and needs maintenance. request immediate action.,infrastructure
"please help, there is collapsed false ceiling panel in classroom 105 for two days",infrastructure
"students are affected because of broken lab benches at hostel block b, this keeps repeating.",infrastructure
please repair campus wifi dead zone in science lab soon. request immediate action.,infrastructure
"please help, classroom 203 has broken classroom chairs and needs maintenance",infrastructure
"there is damaged ceiling tiles in science lab for one month, this keeps repeating.",infrastructure
students are affected because of lift not working at science lab. request immediate action.,infrastructure
"please help, please repair toilet door broken in fee counter soon",infrastructure
"main gate has library air conditioning failure and needs maintenance, this keeps repeating.",infrastructure
there is poor ventilation in computer lab for several weeks. request immediate action.,infrastructure
"please help, students are affected because of potholes on internal road at classroom 105",infrastructure
"please repair water seepage in walls in engineering block soon, this keeps repeating.",infrastructure
